year_month,date,status,total_volume,california,chile,mexico,peru,columbia
2020-01-01,1/5/2020,actual,32537444,37220,159041,32291182,0,50000
2020-01-01,1/12/2020,actual,65307572,319866,177780,64809925,0,0
2020-01-01,1/19/2020,actual,76375629,1604707,222755,74498167,0,50000
2020-01-01,1/26/2020,actual,66647112,2822485,0,63774627,0,50000
2020-02-01,2/2/2020,actual,45414983,2704489,0,42710494,0,0
2020-02-01,2/9/2020,actual,29476898,2489304,0,26987593,0,0
2020-02-01,2/16/2020,actual,50713581,5257159,0,45456422,0,0
2020-02-01,2/23/2020,actual,60175473,6454635,0,53720838,0,0
2020-03-01,3/1/2020,actual,56195818,9785442,0,46410376,0,0
2020-03-01,3/8/2020,actual,47119478,8249788,0,38869689,0,0
2020-03-01,3/15/2020,actual,48039847,3868964,0,44120882,50000,0
2020-03-01,3/22/2020,actual,54765620,8086208,0,46679412,0,0
2020-03-01,3/29/2020,actual,36225538,8323661,0,27901876,0,0
2020-04-01,4/5/2020,actual,24392863,7933743,0,16174674,284446,0
2020-04-01,4/12/2020,actual,24945091,3115152,0,21687715,142223,0
2020-04-01,4/19/2020,actual,65731766,15741055,0,49706264,284446,0
2020-04-01,4/26/2020,actual,70861471,16932573,0,53786674,142223,0
2020-05-01,5/3/2020,actual,57343819,17453801,0,39463348,426669,0
2020-05-01,5/10/2020,actual,68814562,17353081,0,50608141,853338,0
2020-05-01,5/17/2020,actual,54720342,14715907,0,38724426,1280008,0
2020-05-01,5/24/2020,actual,51932040,16615963,0,33372360,1943716,0
2020-05-01,5/31/2020,actual,51667453,11861004,0,35634569,4171879,0
2020-06-01,6/7/2020,actual,54322214,12247478,0,33956728,8022343,95663
2020-06-01,6/14/2020,actual,64385710,13344459,0,39424664,11425260,191326
2020-06-01,6/21/2020,actual,65624404,13754827,0,39545860,12136375,187340
2020-06-01,6/28/2020,actual,67186115,15228590,0,35035819,16687516,234188
2020-07-01,7/5/2020,actual,55217288,11780040,0,26616471,16634420,186356
2020-07-01,7/12/2020,actual,52258875,11391217,0,25273369,15360100,234188
2020-07-01,7/19/2020,actual,55528282,10130158,0,29182989,16023808,191326
2020-07-01,7/26/2020,actual,59549678,9483748,0,36790367,12992559,283003
2020-08-01,8/2/2020,actual,61589035,9301142,0,38468421,13484651,334820
2020-08-01,8/9/2020,actual,52326427,9553079,0,32109326,10524513,139508
2020-08-01,8/16/2020,actual,45333672,8693483,0,28246903,8154127,239157
2020-08-01,8/23/2020,actual,54176904,7873941,0,39333180,6874119,95663
2020-08-01,8/30/2020,actual,48717827,8494500,0,34643071,5451887,128368
2020-09-01,9/6/2020,actual,52693480,8453470,0,39925907,4314102,0
2020-09-01,9/13/2020,actual,50284383,5945695,50794,41917507,2370385,0
2020-09-01,9/20/2020,actual,45986305,6779219,198945,38249616,758523,0
2020-09-01,9/27/2020,actual,56022215,5944327,551263,49431809,94815,0
2020-10-01,10/4/2020,actual,52210342,3964963,456910,47788469,0,0
2020-10-01,10/11/2020,actual,56934734,2412058,405483,54117193,0,0
2020-10-01,10/18/2020,actual,55367338,2203774,255824,52907739,0,0
2020-10-01,10/25/2020,actual,55789244,1974640,131219,52925105,0,758279
2020-11-01,11/1/2020,actual,49535249,1314534,0,48220715,0,0
2020-11-01,11/8/2020,actual,42783020,1634969,0,41148050,0,0
2020-11-01,11/15/2020,actual,56990553,1390168,0,55600384,0,0
2020-11-01,11/22/2020,projection,38427934,0,352000,37781617,0,294317
2020-11-01,11/29/2020,projection,46408984,0,264000,45797755,0,347228
2020-12-01,12/6/2020,projection,52612612,0,176000,52089383,0,347228
2020-12-01,12/13/2020,projection,49965178,0,176000,49544465,0,244713
2020-12-01,12/20/2020,projection,50563073,0,44000,50274359,0,244713
2020-12-01,12/27/2020,projection,38422754,0,44000,38233248,0,145505
